date,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
2026-03-04 23:34:31,17873,0,616.0,2.2,1,4,17,130
2026-03-04 23:35:07,17838,0,614.8,2.1,1,4,15,92
